Posted Date,Reference Number,Payee,Address,Amount
01/15/2025,11122233344455566677701,"ECOMMERCE RETAILER ONLINE WA","SEATTLE       WA ",-187.40
01/18/2025,22233344455566677788802,"COFFEE SHOP #8765","DENVER        CO ",-12.60
01/20/2025,33344455566677788899903,"RIDESHARE SERVICE 877-555-0100","SAN JOSE      CA ",-22.80
01/22/2025,44455566677788899900104,"BAKERY CAFE #4321 DALLAS TX","DALLAS        TX ",-33.90
01/25/2025,55566677788899900111205,"ELECTRONICS STORE 866-555-0200","MINNEAPOLIS   MN ",-453.20
01/28/2025,66677788899900111222306,"FUEL MART 0098765 DALLAS TX","DALLAS        TX ",-55.10
02/02/2025,77788899900111222333407,"HOTEL CHAIN 888-555-0300 VA","RICHMOND      VA ",-340.00
02/05/2025,88899900111222333444508,"DOMESTIC CARRIER 009876543","ATLANTA       GA ",-580.30
02/08/2025,99900111222333444555609,"CAR HIRE COMPANY DALLAS TX","DALLAS        TX ",-252.60
02/12/2025,10011122233344455566710,"BUSINESS NETWORK 650-555-0400","PALO ALTO     CA ",-39.99
02/15/2025,11122233344455566677811,"CLOUD STORAGE 415-555-0500 CA","SAN FRANCISCO CA ",-15.99
02/18/2025,22233344455566677788912,"VIDEO MEETING 888-555-0600 CA","SAN JOSE      CA ",-13.59
02/20/2025,33344455566677788899013,"CODE REPOSITORY SAN FRANCISCO","SAN FRANCISCO CA ",-5.60
02/22/2025,44455566677788899900114,"EMAIL MARKETING ATLANTA GA","ATLANTA       GA ",-28.00
02/25/2025,55566677788899900111215,"DESIGN TOOLS SYDNEY AU","SYDNEY        AU ",-11.99
02/28/2025,66677788899900111222316,"WRITING ASSISTANT 415-555-0700","SAN FRANCISCO CA ",-9.59
03/05/2025,77788899900111222333417,"STOCK IMAGES 408-555-0800 CA","SAN JOSE      CA ",-23.99
03/10/2025,88899900111222333444518,"ACCOUNTING SOFTWARE 800-555-0900","MOUNTAIN VIEW CA ",-52.00
03/15/2025,99900111222333444555619,"PRODUCTIVITY SUITE 650-555-1000","MOUNTAIN VIEW CA ",-14.40
03/20/2025,10011122233344455566720,"TEAM CHAT 415-555-1100 CA","SAN FRANCISCO CA ",-7.00
