Description,,Summary Amt.
Beginning balance as of 01/01/2025,,"3,500.00"
Total credits,,"28,750.00"
Total debits,,"-26,125.00"
Ending balance as of 03/31/2025,,"6,125.00"

Date,Description,Amount,Running Bal.
01/01/2025,Beginning balance as of 01/01/2025,,"3,500.00"
01/07/2025,"Zelle Scheduled payment to John Smith Conf# zl8x9y2abc","-950.00","2,550.00"
01/09/2025,"Zelle payment to Jane Doe Conf# pm5k3n7def","-725.00","1,825.00"
01/15/2025,"ACH Debit - Payroll Service Provider","-118.75","1,706.25"
01/20/2025,"Check #2001 - Accounting & Tax Services","-385.00","1,321.25"
01/25/2025,"Monthly Account Service Fee","-12.00","1,309.25"
02/01/2025,"ACH Debit - Phone & Internet Provider","-87.50","1,221.75"
02/05/2025,"ACH Debit - Cloud Computing Services","-156.25","1,065.50"
02/10/2025,"Debit Card Purchase - Business Supply Store #3421","-93.40","972.10"
02/15/2025,"Debit Card Purchase - Office Supplies Co","-142.80","829.30"
02/20/2025,"ACH Debit - Shipping & Delivery Service","-52.25","777.05"
02/25/2025,"Payment Processing Fee","-18.90","758.15"
03/01/2025,"ACH Debit - Commercial Property Rent","-2,150.00","-1,391.85"
03/05/2025,"ACH Debit - Commercial Insurance Policy","-218.00","-1,609.85"
03/10/2025,"ACH Debit - Business Internet Service","-105.75","-1,715.60"
03/12/2025,"Debit Card Purchase - Video Conferencing Subscription","-13.99","-1,729.59"
03/15/2025,"ACH Debit - Creative Software Subscription","-46.50","-1,776.09"
03/18/2025,"ACH Debit - Productivity Software Suite","-11.25","-1,787.34"
03/20/2025,"Debit Card Purchase - Postal Service Shipping","-37.80","-1,825.14"
03/22/2025,"Debit Card Purchase - Auto Maintenance Service","-64.90","-1,890.04"
03/25/2025,"Debit Card Purchase - Fuel Station Purchase","-53.60","-1,943.64"
